Getting runtime scan results...
Found 1000 runtime scan results

Created At   Result ID           AWS Account          Resource Type Resource Name                  Crit High Medium Low 
----------------------------------------------------------------------------------------------------------------------------------
             186912ed5c2b2a89... prd-data-analysis-platform ECS          prd-loglass-redash/redash-scheduled-worker 84   862  1258   73  
             18693f32bdf7a47f... prd-loglass          ECS          rds-maintenance/rds-maintenance-job 22   149  113    25  
             18693f838df24228... prd-loglass          ECS          prd-loglass-tableau-batch/postgres 22   141  105    25  
             186934f56ef07a5f... dem-loglass          ECS          dem-loglass-tableau-batch/postgres 22   141  105    25  
             1869182423eb674e... prd-loglass          ECS          prd-loglass-tableau-batch/postgres 22   141  105    25  
             18693f39652ed6e8... prd-loglass          ECS          prd-loglass-tableau-batch/postgres 22   141  105    25  
             18694908fcafdcc5... prd-loglass          ECS          prd-loglass-tableau-batch/postgres 22   141  105    25  
             1869182cec2cf23d... prd-loglass          ECS          prd-loglass-tableau-batch/postgres 22   141  105    25  
             18693f2fa1f1f96e... prd-loglass          ECS          prd-loglass-tableau-batch/postgres 22   141  105    25  
             186946281e5e9750... prd-loglass          ECS          prd-loglass-tableau-batch/postgres 22   141  105    25  
             1869183591485b89... prd-loglass          ECS          prd-loglass-tableau-batch/postgres 22   141  105    25  
             186949f6fbeeeffe... prd-loglass          ECS          prd-loglass-tableau-batch/postgres 22   141  105    25  
             18693f795e853bb1... prd-loglass          ECS          prd-loglass-tableau-batch/postgres 22   141  105    25  
             1869182c601c34d7... prd-loglass          ECS          prd-loglass-tableau-batch/postgres 22   141  105    25  
             18693f841d628f99... prd-loglass          ECS          prd-loglass-tableau-batch/postgres 22   141  105    25  
             18693f838c7c854a... prd-loglass          ECS          prd-loglass-tableau-batch/postgres 22   141  105    25  
             186917e9b9ce045b... prd-loglass          ECS          prd-loglass-tableau-batch/postgres 22   141  105    25  
             18693f795adf0aaf... prd-loglass          ECS          prd-loglass-tableau-batch/postgres 22   141  105    25  
             1869181f0e57018c... prd-loglass          ECS          prd-loglass-tableau-batch/postgres 22   141  105    25  
             1869494ff5f8590f... prd-loglass          ECS          prd-loglass-tableau-batch/postgres 22   141  105    25  
             18694a9b8320d450... prd-loglass          ECS          prd-loglass-tableau-batch/postgres 22   141  105    25  
             186949a69285dde1... prd-loglass          ECS          prd-loglass-tableau-batch/postgres 22   141  105    25  
             18694e141213a0e1... stg-loglass          ECS          stg-loglass-tableau-batch/postgres 22   141  105    25  
             18693f3118f083d0... prd-loglass          ECS          prd-loglass-tableau-batch/postgres 22   141  105    25  
             1869462dd6d9d306... prd-loglass          ECS          prd-loglass-tableau-batch/postgres 22   141  105    25  
             1869220e908b37b2... prd-loglass          ECS          prd-loglass-tableau-batch/postgres 22   141  105    25  
             18693f311890c4ad... prd-loglass          ECS          prd-loglass-tableau-batch/postgres 22   141  105    25  
             1869358a23fc60c1... prd-loglass          ECS          prd-loglass-tableau-batch/postgres 22   141  105    25  
             186922b64ac612e5... prd-loglass          ECS          prd-loglass-tableau-batch/postgres 22   141  105    25  
             18693f7818b3c19f... prd-loglass          ECS          prd-loglass-tableau-batch/postgres 22   141  105    25  
             18693f37dd5cd509... prd-loglass          ECS          prd-loglass-tableau-batch/postgres 22   141  105    25  
